               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033492,             0.00841,           0.0027191,             0.94964,             0.92013,             0.96727,             0.58937,            0.029721,           0.0050579,           0.0015397,             0.00769,             0.00769,             0.00769
                  37,            0.033467,            0.008128,           0.0027885,             0.93999,             0.93626,             0.97387,             0.57716,             0.02999,            0.005015,           0.0015009,            0.007624,            0.007624,            0.007624
                  38,            0.032884,           0.0077181,           0.0024434,             0.93154,             0.93966,             0.96507,             0.58711,            0.029726,             0.00493,           0.0015219,            0.007558,            0.007558,            0.007558
                  39,            0.032548,            0.007952,           0.0028178,             0.94189,             0.94086,             0.97605,             0.56435,            0.029947,           0.0049255,           0.0014099,            0.007492,            0.007492,            0.007492
                  40,            0.032858,           0.0079069,           0.0026758,             0.94677,             0.94036,             0.97262,             0.58657,            0.030076,           0.0049955,           0.0017758,            0.007426,            0.007426,            0.007426
                  41,            0.032534,           0.0076859,           0.0024339,             0.96134,              0.9325,             0.97351,             0.59148,             0.02895,           0.0048093,           0.0012409,             0.00736,             0.00736,             0.00736
                  42,            0.032423,           0.0077601,           0.0033004,             0.94452,             0.94656,             0.97273,             0.56377,            0.029739,           0.0050307,           0.0014833,            0.007294,            0.007294,            0.007294
                  43,            0.032164,           0.0079858,           0.0024503,             0.94604,             0.94858,             0.96922,             0.59531,            0.028366,           0.0048074,           0.0011364,            0.007228,            0.007228,            0.007228
                  44,            0.031314,           0.0073457,           0.0020089,             0.95735,             0.95844,             0.98174,             0.60218,             0.02934,           0.0047432,            0.001243,            0.007162,            0.007162,            0.007162
                  45,            0.031974,           0.0077602,           0.0024749,             0.94821,             0.96186,             0.97479,             0.60497,            0.028687,           0.0047873,            0.001317,            0.007096,            0.007096,            0.007096
                  46,            0.031179,           0.0073681,           0.0022158,             0.95012,             0.96715,             0.97856,             0.61609,            0.028236,           0.0046446,           0.0010505,             0.00703,             0.00703,             0.00703
                  47,            0.030267,           0.0072654,           0.0019579,             0.97213,             0.94062,             0.97491,             0.59416,            0.029407,           0.0046136,           0.0011685,            0.006964,            0.006964,            0.006964
                  48,            0.030673,           0.0073548,           0.0019225,             0.96123,             0.95384,             0.97912,             0.61048,             0.02858,           0.0046616,           0.0011159,            0.006898,            0.006898,            0.006898
                  49,            0.029953,           0.0073228,           0.0020075,             0.96074,             0.97148,             0.98334,             0.62216,            0.027153,           0.0045794,            0.001059,            0.006832,            0.006832,            0.006832
                  50,            0.030328,           0.0071537,           0.0020155,              0.9616,             0.96783,             0.98083,             0.60878,            0.028011,           0.0045429,           0.0010644,            0.006766,            0.006766,            0.006766
                  51,            0.030556,            0.007362,           0.0021536,             0.95329,             0.97479,             0.98252,             0.61137,            0.028039,           0.0045371,          0.00095758,              0.0067,              0.0067,              0.0067
                  52,            0.029444,           0.0071381,           0.0015994,              0.9567,             0.95168,             0.97604,             0.62587,             0.02698,           0.0045403,           0.0012626,            0.006634,            0.006634,            0.006634
                  53,             0.02994,           0.0073125,           0.0020711,             0.94982,             0.94793,              0.9701,             0.60192,            0.027684,           0.0046479,           0.0029451,            0.006568,            0.006568,            0.006568
                  54,            0.029765,           0.0073164,           0.0018759,             0.96051,             0.97028,             0.98211,             0.62529,            0.027039,           0.0044519,           0.0011846,            0.006502,            0.006502,            0.006502
                  55,             0.02976,           0.0069244,           0.0018818,             0.96227,             0.94695,             0.96823,              0.6053,            0.027809,           0.0044738,           0.0010928,            0.006436,            0.006436,            0.006436
                  56,            0.028932,           0.0070676,           0.0018098,             0.97431,             0.96823,             0.98568,             0.63532,             0.02741,           0.0044804,          0.00094688,             0.00637,             0.00637,             0.00637
