               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032993,           0.0076253,           0.0019413,             0.96631,             0.94617,             0.97892,             0.59782,            0.029852,           0.0045767,           0.0011466,             0.00769,             0.00769,             0.00769
                  37,            0.032381,           0.0076011,           0.0019045,              0.9487,             0.96368,              0.9765,             0.59674,            0.028856,           0.0045474,           0.0009858,            0.007624,            0.007624,            0.007624
                  38,            0.032733,            0.007202,           0.0019863,             0.95396,             0.94293,              0.9774,             0.55689,            0.031413,           0.0045086,           0.0010808,            0.007558,            0.007558,            0.007558
                  39,            0.032145,           0.0073502,           0.0019411,             0.96304,             0.96251,             0.98178,             0.58973,            0.030151,           0.0045269,          0.00084916,            0.007492,            0.007492,            0.007492
                  40,            0.032089,           0.0073195,           0.0018544,             0.97018,             0.94293,              0.9773,              0.5918,            0.029554,           0.0045469,            0.001034,            0.007426,            0.007426,            0.007426
                  41,            0.032372,           0.0072711,           0.0020415,             0.95391,             0.96861,             0.98408,             0.59477,            0.029889,           0.0044581,          0.00099429,             0.00736,             0.00736,             0.00736
                  42,            0.032292,           0.0072738,           0.0018263,             0.96622,              0.9578,             0.97818,             0.59179,            0.029906,            0.004397,           0.0010427,            0.007294,            0.007294,            0.007294
                  43,            0.031239,           0.0073203,            0.001748,              0.9561,              0.9698,             0.98023,               0.586,            0.029772,           0.0044324,          0.00098611,            0.007228,            0.007228,            0.007228
                  44,            0.030923,           0.0068991,           0.0014518,             0.96658,             0.95902,             0.98212,             0.60453,            0.030089,           0.0044176,           0.0010353,            0.007162,            0.007162,            0.007162
                  45,            0.031311,           0.0070545,            0.001904,             0.95649,             0.97769,             0.98255,             0.60295,            0.029135,           0.0044363,           0.0009336,            0.007096,            0.007096,            0.007096
                  46,            0.030809,            0.007016,           0.0016926,             0.97214,             0.97587,             0.98437,             0.60468,            0.028602,           0.0042994,          0.00086538,             0.00703,             0.00703,             0.00703
                  47,            0.030078,           0.0068813,           0.0014802,             0.97184,             0.96406,             0.98332,             0.60342,            0.028667,           0.0042988,          0.00085032,            0.006964,            0.006964,            0.006964
                  48,             0.03056,           0.0068922,           0.0015515,             0.97366,             0.96633,             0.98055,             0.58561,            0.029543,           0.0042894,          0.00086523,            0.006898,            0.006898,            0.006898
                  49,            0.030294,           0.0069921,           0.0014761,              0.9635,             0.96456,             0.97544,              0.6067,            0.028416,           0.0042959,          0.00086394,            0.006832,            0.006832,            0.006832
                  50,            0.030979,           0.0068446,           0.0014281,             0.96584,             0.95703,             0.97934,              0.6072,             0.02873,           0.0045157,          0.00094894,            0.006766,            0.006766,            0.006766
                  51,            0.029805,             0.00695,           0.0017648,             0.96768,              0.9816,             0.98713,             0.62447,            0.027715,           0.0042337,          0.00091673,              0.0067,              0.0067,              0.0067
                  52,             0.03024,           0.0069462,           0.0015664,             0.96481,             0.95186,             0.98032,             0.60133,             0.02853,           0.0044384,           0.0013391,            0.006634,            0.006634,            0.006634
                  53,             0.03046,           0.0071009,           0.0019644,             0.96949,             0.95452,             0.97821,             0.60959,            0.028857,           0.0043347,           0.0010748,            0.006568,            0.006568,            0.006568
                  54,            0.029682,           0.0070029,           0.0014563,              0.9648,             0.97272,             0.97816,             0.62184,            0.027923,           0.0042466,          0.00089673,            0.006502,            0.006502,            0.006502
                  55,            0.029706,           0.0068088,            0.001373,             0.96658,             0.97216,             0.98474,             0.61869,            0.028585,           0.0042418,           0.0011523,            0.006436,            0.006436,            0.006436
                  56,            0.029564,           0.0067728,           0.0012723,             0.96804,             0.98372,             0.98698,              0.6139,            0.027683,           0.0041756,            0.000847,             0.00637,             0.00637,             0.00637
                  57,            0.029987,           0.0067123,            0.001558,             0.96743,             0.97205,             0.98278,             0.62603,             0.02825,           0.0042255,          0.00087992,            0.006304,            0.006304,            0.006304
                  58,            0.029441,           0.0069526,           0.0014666,             0.95767,             0.98506,             0.98419,             0.61711,             0.02814,           0.0041372,          0.00078309,            0.006238,            0.006238,            0.006238
                  59,            0.028648,           0.0067891,           0.0014582,             0.97456,             0.97236,             0.98583,              0.6212,            0.027606,           0.0041947,          0.00080782,            0.006172,            0.006172,            0.006172
                  60,            0.028712,           0.0066131,           0.0012239,             0.97017,             0.98307,             0.98495,             0.63404,            0.027173,           0.0040961,          0.00068026,            0.006106,            0.006106,            0.006106
                  61,            0.029019,           0.0064881,           0.0013225,              0.9709,             0.97414,             0.98435,             0.62853,            0.027698,            0.004146,          0.00071538,             0.00604,             0.00604,             0.00604
                  62,            0.028448,           0.0064455,           0.0010593,             0.96994,              0.9872,             0.98566,             0.62351,             0.02696,           0.0040775,            0.000679,            0.005974,            0.005974,            0.005974
                  63,            0.028387,           0.0065244,           0.0011695,             0.96813,             0.98478,             0.98622,             0.63499,            0.027066,           0.0040748,           0.0006697,            0.005908,            0.005908,            0.005908
                  64,            0.028465,           0.0064433,           0.0012007,             0.97404,             0.97886,             0.98473,             0.62931,             0.02671,           0.0040771,          0.00074311,            0.005842,            0.005842,            0.005842
                  65,            0.027927,           0.0063914,          0.00095501,             0.97265,             0.97932,             0.98827,             0.64726,             0.02704,           0.0040942,          0.00064645,            0.005776,            0.005776,            0.005776
                  66,            0.028042,           0.0064858,           0.0012451,             0.97225,             0.98355,             0.98816,             0.63803,            0.026675,           0.0040952,          0.00067822,             0.00571,             0.00571,             0.00571
                  67,            0.027557,           0.0064724,           0.0012485,             0.96682,             0.98425,             0.98497,             0.63616,            0.026714,           0.0040835,          0.00074079,            0.005644,            0.005644,            0.005644
                  68,            0.027608,           0.0063641,           0.0010892,             0.96511,             0.97836,              0.9856,             0.63332,            0.027216,           0.0041014,          0.00069507,            0.005578,            0.005578,            0.005578
                  69,            0.027689,           0.0063802,           0.0010923,             0.96944,             0.98353,             0.98489,              0.6439,            0.026808,           0.0040349,          0.00068104,            0.005512,            0.005512,            0.005512
                  70,            0.027196,           0.0062614,           0.0012668,             0.96954,             0.98437,             0.98452,             0.63033,            0.026885,           0.0040809,          0.00063947,            0.005446,            0.005446,            0.005446
                  71,            0.027575,           0.0062837,           0.0012086,              0.9709,             0.98085,             0.98833,             0.63964,            0.026688,           0.0040788,          0.00068486,             0.00538,             0.00538,             0.00538
                  72,            0.027243,           0.0064208,           0.0011336,             0.97589,             0.97718,             0.98514,             0.65685,            0.025917,            0.003966,          0.00058336,            0.005314,            0.005314,            0.005314
                  73,            0.026737,           0.0062388,           0.0010407,             0.96788,             0.98476,             0.98689,             0.65068,            0.025821,           0.0039882,           0.0006161,            0.005248,            0.005248,            0.005248
                  74,            0.026653,           0.0062736,           0.0010911,             0.97262,             0.98686,             0.98776,             0.64011,            0.026441,           0.0039987,          0.00070025,            0.005182,            0.005182,            0.005182
                  75,            0.027025,           0.0062684,            0.001102,             0.96105,             0.97988,             0.98243,             0.64035,            0.026294,           0.0040662,          0.00057825,            0.005116,            0.005116,            0.005116
                  76,            0.026601,           0.0062797,            0.001076,             0.97356,             0.97409,             0.98606,             0.63652,             0.02685,           0.0040494,           0.0005608,             0.00505,             0.00505,             0.00505
